epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9232763051986694,0.9608826637268066,0.0010000000474974513,0.23072637617588043,0.9396876692771912,0.9046137928962708,0.9325109124183655,0.9851162433624268,0.23744139075279236,0.9906696081161499,0.8732462525367737
1,0.9455158114433289,0.9711893796920776,0.0010000000474974513,0.18282650411128998,0.9571276307106018,0.9328149557113647,0.9496855139732361,0.9841221570968628,0.19314755499362946,0.9407302141189575,0.9598451852798462
2,0.9451529383659363,0.9733883142471313,0.0010000000474974513,0.178350567817688,0.9539063572883606,0.9355106353759766,0.958635687828064,0.9815781712532043,0.14124587178230286,0.9812182784080505,0.9351717233657837
3,0.9469155073165894,0.9759085774421692,0.0010000000474974513,0.17199677228927612,0.9562824368476868,0.9366511106491089,0.9596033096313477,0.9824681878089905,0.13836857676506042,0.9716981053352356,0.9467827677726746
4,0.9477449655532837,0.9780013561248779,0.0010000000474974513,0.1654435694217682,0.9571292400360107,0.9374805688858032,0.9579100012779236,0.9879413843154907,0.12366562336683273,0.9543927311897278,0.9617803692817688
5,0.9484707117080688,0.9785066246986389,0.0010000000474974513,0.16262748837471008,0.9552678465843201,0.9410057067871094,0.9610546827316284,0.9888087511062622,0.13775192201137543,0.9717822074890137,0.9496855139732361
6,0.9507516622543335,0.9808423519134521,0.0010000000474974513,0.15372978150844574,0.9595180153846741,0.941213071346283,0.9564586281776428,0.9807868003845215,0.15052473545074463,0.9782058000564575,0.9337203502655029
7,0.9506480097770691,0.9807281494140625,0.0010000000474974513,0.15429022908210754,0.9588303565979004,0.9417314529418945,0.9600870609283447,0.9866552352905273,0.13722297549247742,0.9698616862297058,0.9496855139732361
8,0.9530326724052429,0.9830759763717651,0.0005000000237487257,0.14524970948696136,0.9603835344314575,0.9450492262840271,0.9646831154823303,0.9889869093894958,0.12628206610679626,0.96739661693573,0.9617803692817688
9,0.954639732837677,0.9830759167671204,0.0005000000237487257,0.14374105632305145,0.961384654045105,0.9473302364349365,0.962989866733551,0.9871522188186646,0.13521774113178253,0.9789789915084839,0.9462989568710327
10,0.9543805122375488,0.9847642779350281,0.0005000000237487257,0.13917586207389832,0.9627283215522766,0.9453603029251099,0.962989866733551,0.9893234372138977,0.13357073068618774,0.9623188376426697,0.9637155532836914
11,0.957750141620636,0.9858577847480774,0.0002500000118743628,0.13184353709220886,0.9646390080451965,0.9503369331359863,0.9675858616828918,0.9908684492111206,0.11017169058322906,0.9735423922538757,0.961296558380127
12,0.9560912251472473,0.9861463904380798,0.0002500000118743628,0.1334887444972992,0.9636383056640625,0.9479523301124573,0.962989866733551,0.987540602684021,0.13955502212047577,0.9852941036224365,0.9400096535682678
13,0.9576982855796814,0.9872857928276062,0.0002500000118743628,0.1279783546924591,0.9663040041923523,0.9484707117080688,0.9622641801834106,0.989109218120575,0.14031250774860382,0.9847792983055115,0.9390420913696289
14,0.9581130146980286,0.9873422980308533,0.0002500000118743628,0.12740963697433472,0.9684087634086609,0.9471228718757629,0.9666182994842529,0.9903011918067932,0.12040548026561737,0.9796121120452881,0.9530720710754395
15,0.9594089984893799,0.9880031943321228,0.0001250000059371814,0.12334255129098892,0.9674050807952881,0.9508553743362427,0.9656506776809692,0.9902242422103882,0.12245571613311768,0.9800498485565186,0.9506531357765198
16,0.9594089984893799,0.9880565404891968,0.0001250000059371814,0.12387420982122421,0.9676023721694946,0.9506480097770691,0.9651669263839722,0.9912903308868408,0.10797064006328583,0.9743463397026062,0.9554910659790039
17,0.9608086943626404,0.9890962839126587,0.0001250000059371814,0.11848386377096176,0.9672027826309204,0.9539657831192017,0.9666182994842529,0.9913180470466614,0.10511893779039383,0.9772390127182007,0.9554910659790039
18,0.9603939652442932,0.9892423748970032,0.0001250000059371814,0.11876754462718964,0.9669786691665649,0.9533436894416809,0.9678277969360352,0.9917604327201843,0.10737407207489014,0.9801390171051025,0.9550072550773621
